#@string,ra,dec,float,float,float,float,float,float,string,string,float,float,float,string
Name,RA,DEC,K,TYPE,S,err_S,Dist,M(K),P1/4,Spectrum,M_BH,SoI_pc,SoI_arcsec,Done
205,01:33:52.10,30:47:16.2,8.53,-5,-0.6,0.5,16,-22.55,<9.7e18,x,5.70E+07,9.9,0.13,FALSE
206,01:33:52.20,30:29:03.8,8.31,-1,1.1,0.5,13,-22.23,2.20E+19,x,4.30E+07,8.4,0.13,FALSE
207,01:33:52.38,30:35:00.8,8.17,-2,0.5,0.5,14,-22.61,<3.4e19,x,6.00E+07,10,0.15,FALSE
208,01:33:52.39,30:34:21.1,7.8,-2,0,0.5,17,-23.38,<3.2e19,x,1.10E+08,15,0.18,FALSE
209,01:33:52.40,30:50:17.1,6.63,-5,-0.4,0.5,23,-25.19,<3.2e19,x,5.40E+08,37,0.33,FALSE
210,01:33:52.67,30:48:10.1,7.7,-1,0.2,0.5,17,-23.44,<3.8e19,x,1.20E+08,15,0.19,FALSE
211,01:33:53.14,30:48:33.8,7.62,-2.9,24,1,46,-25.7,6.00E+21,x,8.30E+08,48,0.21,FALSE
212,01:33:53.40,30:33:02.8,8.77,-1.5,9.2,0.6,37,-24.09,1.50E+21,x,2.10E+08,21,0.12,FALSE
213,01:33:53.43,30:57:18.0,6.21,-5,7,600,19,-25.13,2.90E+23,x,5.10E+08,36,0.39,FALSE
214,01:33:53.69,30:48:21.5,8.81,-3,1.6,0.5,18,-22.43,6.00E+19,x,5.10E+07,9.3,0.11,FALSE
215,01:33:54.10,30:33:09.7,8.76,-2.5,-0.1,0.5,16,-22.24,<2.4e19,x,4.40E+07,8.5,0.11,FALSE
216,01:33:54.38,30:21:51.9,6.13,-1,0.7,0.5,18,-25.13,<6.1e19,x,5.10E+08,36,0.41,FALSE
217,01:33:54.63,30:34:48.3,8.48,-2.3,0.5,0.5,27,-23.68,<1.2e20,x,1.50E+08,17,0.13,FALSE
218,01:33:54.73,30:48:43.7,8.68,-3.3,21,1,79,-25.79,1.60E+22,x,9.00E+08,50,0.13,FALSE
219,01:33:54.75,30:45:28.4,8.16,-2,0,0.5,16,-22.86,<2.8e19,x,7.40E+07,12,0.15,FALSE
220,01:33:54.80,30:32:15.8,6.77,-1,0.1,0.5,16,-24.21,<2.9e19,x,2.30E+08,23,0.29,FALSE
221,01:33:55.00,30:32:14.5,7.29,-2,-0.4,0.5,15,-23.63,<1.4e19,x,1.40E+08,17,0.23,FALSE
222,01:33:55.18,30:47:58.0,7.14,-1,0.2,0.5,16,-23.88,<3.4e19,x,1.80E+08,19,0.25,FALSE
223,01:33:55.32,30:37:34.0,8.01,-1,0.5,0.5,26,-24.1,<1.2e20,x,2.10E+08,21,0.17,FALSE
224,01:33:55.35,30:45:43.5,5.39,-5,2.2,10,17,-25.73,7.40E+21,x,8.50E+08,49,0.59,FALSE
225,01:33:55.50,30:57:06.3,7.15,-5,-0.1,0.5,15,-23.77,<2.2e19,x,1.60E+08,18,0.25,FALSE
226,01:33:55.87,30:29:34.3,8.68,-2,-0.3,0.5,15,-22.27,<1.7e19,x,4.50E+07,8.6,0.12,FALSE
227,01:33:55.90,30:52:28.7,7.34,-2,0.8,0.5,19,-24.06,<7.4e19,x,2.10E+08,21,0.23,FALSE
228,01:33:56.18,30:38:39.8,5.8,-4,2.1,10000,17,-25.31,6.90E+24,x,6.00E+08,39,0.48,FALSE
229,01:33:56.21,30:45:51.8,6.99,-5,1,0.5,15,-23.86,2.60E+19,x,1.70E+08,19,0.26,FALSE
230,01:33:56.41,30:29:28.4,7.87,-3,0.1,0.5,19,-23.47,<4.1e19,x,1.20E+08,16,0.17,FALSE
231,01:33:56.50,30:36:10.6,6.46,-2,12,0.5,17,-24.68,4.10E+20,x,3.50E+08,29,0.35,FALSE
232,01:33:56.93,30:41:38.4,8.95,-2.3,0.2,0.5,16,-22.03,<3.2e19,x,3.60E+07,7.6,0.098,FALSE
233,01:33:56.93,30:49:26.8,7.38,-3,10.5,0.5,14,-23.36,2.50E+20,x,1.10E+08,15,0.22,FALSE
234,01:33:57.10,30:50:31.5,8.68,-1.5,-0.2,0.5,15,-22.25,<2.0e19,x,4.40E+07,8.5,0.12,FALSE
235,01:33:57.10,30:48:03.5,8.86,-5,1.2,0.5,16,-22.19,3.80E+19,x,4.20E+07,8.2,0.11,FALSE
236,01:33:57.16,30:40:20.7,6.71,-5,1,3,16,-24.31,3.10E+21,x,2.50E+08,24,0.31,FALSE
237,01:33:57.28,30:39:15.3,8.91,-1,-0.5,0.5,42,-24.23,<8.6e19,x,2.40E+08,23,0.11,FALSE
238,01:33:57.35,30:41:28.5,7.92,-5,1.6,0.5,16,-23.09,4.90E+19,x,9.00E+07,13,0.17,FALSE
239,01:33:57.40,30:52:17.9,7.68,-2,0.1,0.5,17,-23.49,<3.5e19,x,1.30E+08,16,0.19,FALSE
240,01:33:57.66,30:41:32.6,8.4,-2,0.3,0.5,16,-22.67,<3.8e19,x,6.30E+07,10,0.14,FALSE
241,01:33:57.84,30:35:31.8,7.75,-5,37,2,22,-23.96,2.10E+21,x,1.90E+08,20,0.19,FALSE
242,01:33:57.85,30:49:04.9,7.45,-1,0.8,0.5,25,-24.57,<1.3e20,x,3.20E+08,27,0.22,FALSE
243,01:33:57.87,30:33:25.7,8.15,-2,1.4,0.5,25,-23.87,1.10E+20,x,1.70E+08,19,0.16,FALSE
244,01:33:57.93,31:04:08.7,8.55,-2,-0.2,0.5,17,-22.54,<2.3e19,x,5.60E+07,9.8,0.12,FALSE
245,01:33:58.01,30:45:45.2,6.73,-5,-0.4,0.5,15,-24.13,<1.3e19,x,2.20E+08,22,0.3,FALSE
246,01:33:58.03,30:39:26.2,6.41,-5,78,3,15,-24.42,2.00E+21,x,2.80E+08,25,0.35,FALSE
247,01:33:58.10,30:38:15.5,8.2,-3,0.2,0.5,17,-22.99,<3.9e19,x,8.20E+07,12,0.15,FALSE
248,01:33:58.41,30:39:14.9,8.84,-5,-0.5,0.5,21,-22.76,<2.1e19,x,6.80E+07,11,0.11,FALSE
249,01:33:58.58,30:48:42.7,5.73,-5,29,1,16,-25.35,9.40E+20,x,6.20E+08,40,0.52,FALSE
250,01:33:58.86,30:34:43.2,8.19,-5,0.4,0.5,15,-22.69,<3.5e19,x,6.40E+07,11,0.15,FALSE
251,01:33:58.90,30:49:11.0,8.38,-1,7.1,0.5,13,-22.27,1.50E+20,x,4.50E+07,8.6,0.14,FALSE
252,01:33:59.07,30:50:05.9,8.94,-2,3.5,0.5,16,-22.06,1.10E+20,x,3.70E+07,7.7,0.1,FALSE
253,01:33:59.46,30:48:26.7,6.36,-5,0.6,0.5,13,-24.13,<2.8e19,x,2.20E+08,22,0.35,FALSE
254,01:33:59.52,30:47:29.5,7.56,-1,19,1,15,-23.35,5.20E+20,x,1.10E+08,15,0.2,FALSE
255,01:33:59.52,30:45:49.9,8.54,-2,0.3,0.5,32,-23.97,<1.5e20,e,,20,0.13,TRUE
256,01:33:59.67,30:47:38.2,8.37,-5,0,0.5,15,-22.58,<2.6e19,x,5.80E+07,10,0.14,FALSE
257,01:33:59.74,30:41:24.4,7.4,-3,0.2,0.5,16,-23.63,<3.4e19,x,1.40E+08,17,0.22,FALSE
258,01:33:59.84,30:39:45.4,8.54,-5,1,100,61,-25.38,4.40E+23,x,6.30E+08,41,0.14,FALSE
259,01:33:59.92,30:32:44.2,7.29,-2,0,0.5,14,-23.42,<2.1e19,x,1.20E+08,15,0.23,FALSE
260,01:34:00.01,30:33:54.3,8.19,-4.5,0,0.5,33,-24.39,<1.2e20,x,2.70E+08,25,0.16,FALSE
261,01:34:00.21,30:37:47.2,8.61,-1,4.9,0.5,60,-25.26,2.10E+21,x,5.70E+08,38,0.13,FALSE
262,01:34:00.27,30:48:36.6,7.73,-5,7,600,54,-25.94,2.40E+24,x,1.00E+09,54,0.21,FALSE
263,01:34:00.44,30:51:01.2,8.7,-3.5,9.2,0.5,62,-25.27,4.30E+21,x,5.80E+08,39,0.13,FALSE
264,01:34:00.47,30:41:23.1,8.48,-2,3.5,0.6,12,-21.83,5.60E+19,x,3.10E+07,6.9,0.12,FALSE
265,01:34:00.76,30:50:09.1,8.49,-3,12,1,60,-25.42,5.40E+21,x,6.50E+08,42,0.14,FALSE
266,01:34:01.03,30:46:58.8,8.82,-2.5,0.3,0.5,46,-24.5,<3.0e20,x,3.00E+08,26,0.12,FALSE
267,01:34:01.31,30:39:23.5,8.89,-2,-0.4,0.5,52,-24.67,<1.6e20,x,3.50E+08,29,0.11,FALSE
268,01:34:01.56,30:42:31.0,7.91,-1,1,0.5,27,-24.27,8.90E+19,x,2.50E+08,23,0.18,FALSE
269,01:34:01.60,30:42:31.1,8.86,-4,7.2,50,99,-26.11,8.40E+23,x,1.20E+09,59,0.12,FALSE
270,01:34:01.68,30:49:43.9,8.4,-4,1.2,0.5,89,-26.34,1.10E+21,x,1.40E+09,66,0.15,FALSE
271,01:34:01.75,30:32:25.7,8.64,-4,0.1,0.5,64,-25.38,<4.9e20,x,6.30E+08,41,0.13,FALSE
272,01:34:01.99,30:38:10.9,8.76,-5,1.1,0.5,42,-24.33,2.30E+20,x,2.60E+08,24,0.12,FALSE
273,01:34:01.99,30:39:37.8,7.7,-5,40,2,44,-25.51,9.10E+21,x,7.10E+08,44,0.2,FALSE
274,01:34:02.33,30:50:27.8,8.87,-5,52,2,48,-24.53,1.40E+22,x,3.10E+08,27,0.11,FALSE
275,01:34:02.48,30:40:40.7,7.59,-2,4.1,0.4,20,-23.91,1.90E+20,x,1.80E+08,20,0.2,FALSE
276,01:34:02.48,30:38:41.1,7.72,-1,32,1,18,-23.53,1.20E+21,x,1.30E+08,16,0.19,FALSE
277,01:34:02.59,30:58:10.3,8.71,-2.5,0.7,0.5,60,-25.18,<6.9e20,n,5.30E+08,37,0.13,FALSE
278,01:34:02.63,30:49:38.6,8.66,-3,22,1,75,-25.72,1.50E+22,e,8.40E+08,48,0.13,FALSE
279,01:34:02.77,30:48:36.5,7.7,-5,2,0.5,38,-25.23,3.50E+20,x,5.60E+08,38,0.21,FALSE
280,01:34:02.79,30:46:36.8,7.68,-5,35,1,31,-24.79,4.00E+21,x,3.80E+08,30,0.2,FALSE
281,01:34:02.90,30:43:20.8,7.26,-5,0,0.5,28,-24.95,<8.3e19,x,4.40E+08,33,0.24,FALSE
282,01:34:03.09,30:45:35.6,8.79,-2,1,0.5,45,-24.47,2.40E+20,x,2.90E+08,26,0.12,FALSE
283,01:34:03.10,30:42:21.3,8.28,-2,62,2,67,-25.87,3.40E+22,a,9.60E+08,52,0.16,FALSE
284,01:34:03.12,30:52:13.9,8.2,-5,1.57,5,39,-24.73,2.80E+22,x,3.60E+08,29,0.16,FALSE
285,01:34:03.12,30:48:11.0,7.02,-2,46,2,23,-24.77,2.80E+21,x,3.80E+08,30,0.27,FALSE
286,01:34:03.14,30:46:55.2,7.78,-3,12,1,25,-24.2,8.60E+20,x,2.30E+08,23,0.19,FALSE
287,01:34:03.34,30:48:28.0,6.9,-3,1.7,0.5,3.6,-20.87,2.60E+18,x,1.40E+07,4.3,0.24,FALSE
288,01:34:03.83,30:29:33.5,8.91,-5,5.5,0.5,55,-24.81,2.00E+21,x,3.90E+08,31,0.12,FALSE
289,01:34:03.90,30:47:29.1,8.6,-2.9,20,1,53,-25.04,6.80E+21,x,4.70E+08,34,0.13,FALSE
290,01:34:04.32,30:39:22.8,8.66,-4.5,0.5,0.5,34,-24,<1.9e20,x,1.90E+08,20,0.12,FALSE
291,01:34:04.47,30:36:56.1,8.89,-5,3.6,0.4,35,-23.84,5.30E+20,x,1.70E+08,19,0.11,FALSE
292,01:34:04.79,30:49:17.9,7.13,-1,3.1,0.4,24,-24.77,2.10E+20,e,,30,0.26,TRUE
293,01:34:04.80,30:47:39.1,8.66,-2,3.5,0.4,17,-22.43,1.10E+20,x,5.10E+07,9.3,0.11,FALSE
294,01:34:05.08,30:49:43.1,8.82,-1,0.6,0.5,49,-24.62,<4.3e20,x,3.30E+08,28,0.12,FALSE
295,01:34:05.12,30:40:36.7,8.95,-2,0.6,0.5,99,-26.04,<1.8e21,x,1.10E+09,57,0.12,FALSE
296,01:34:05.24,30:57:01.1,8.36,-3,-0.5,0.5,27,-23.82,<3.5e19,x,1.70E+08,19,0.14,FALSE
297,01:34:05.40,30:47:50.9,7.15,-5,78,3,31,-25.32,9.10E+21,x,6.00E+08,40,0.26,FALSE
298,01:34:05.85,30:49:56.9,8.47,-5,0.9,0.5,65,-25.58,<9.0e20,x,7.50E+08,45,0.14,FALSE
299,01:34:06.20,30:40:12.6,8.43,-5,29,1,76,-25.97,2.00E+22,n,1.00E+09,55,0.15,FALSE
300,01:34:06.30,30:37:26.1,7.62,-2,40,1,30,-24.74,4.20E+21,x,3.70E+08,30,0.2,FALSE
301,01:34:06.40,30:37:30.5,8.91,-5,13,1,67,-25.21,7.00E+21,x,5.50E+08,37,0.12,FALSE
302,01:34:06.59,30:50:18.3,7.49,-4.7,7.9,60,57,-26.29,3.00E+23,x,1.40E+09,64,0.23,FALSE
303,01:34:06.68,30:48:56.2,8.76,-2,-0.4,0.5,26,-23.3,<4.0e19,x,1.10E+08,14,0.11,FALSE
304,01:34:06.77,30:48:32.8,8.84,-4,6.6,20,56,-24.89,2.40E+23,x,4.20E+08,32,0.12,FALSE
305,01:34:06.79,30:47:27.0,8.48,-5,5.9,500,76,-25.92,4.00E+24,x,,54,0.15,TRUE
306,01:34:06.98,30:32:00.1,8.35,-3,0,0.5,27,-23.82,<8.0e19,x,1.70E+08,19,0.14,FALSE
307,01:34:07.02,30:50:57.4,8.4,-2,0.9,0.5,26,-23.67,<1.4e20,x,1.50E+08,17,0.14,FALSE
308,01:34:07.03,30:49:24.4,8.91,-5,1.3,100,69,-25.29,7.30E+23,x,5.90E+08,39,0.12,FALSE
309,01:34:07.18,30:35:23.1,8.45,-2,0,0.5,37,-24.36,<1.4e20,x,2.60E+08,24,0.14,FALSE
310,01:34:07.28,30:38:29.5,8.75,-2,3.1,200,101,-26.27,3.80E+24,x,1.30E+09,64,0.13,FALSE
311,01:34:07.37,30:47:41.6,8.08,-5,1,0.5,44,-25.16,2.40E+20,x,5.20E+08,37,0.17,FALSE
312,01:34:07.51,30:50:11.1,7.82,-5,0.3,0.5,25,-24.21,<9.3e19,x,2.30E+08,23,0.19,FALSE
313,01:34:07.73,30:52:18.1,8.93,-5,-1,0.5,28,-23.34,,x,1.10E+08,15,0.11,FALSE
314,01:34:07.78,30:51:41.4,8.46,-2,1.3,0.5,28,-23.76,1.20E+20,x,1.60E+08,18,0.13,FALSE
315,01:34:07.79,30:31:21.2,8.24,-5,-0.4,0.5,26,-23.86,<4.1e19,x,1.70E+08,19,0.15,FALSE
316,01:34:08.04,30:38:38.2,8.95,-3,0.8,0.5,28,-23.28,<1.6e20,x,1.10E+08,14,0.1,FALSE
317,01:34:08.08,30:31:18.7,8.65,-5,0.9,0.5,74,-25.7,<1.2e21,n,8.30E+08,48,0.13,FALSE
318,01:34:08.10,30:53:32.1,8.4,-5,-0.5,0.5,46,-24.91,<1.0e20,x,4.20E+08,32,0.14,FALSE
319,01:34:08.22,30:34:05.0,8.11,-5,1.09,4,41,-24.94,2.20E+22,x,4.30E+08,33,0.16,FALSE
320,01:34:08.53,30:39:02.4,7.93,-5,1.5,0.5,27,-24.22,1.30E+20,x,2.40E+08,23,0.17,FALSE
321,01:34:08.63,30:39:22.8,7.39,-5,15,1,32,-25.15,1.80E+21,x,5.20E+08,36,0.23,FALSE
322,01:34:08.70,30:42:55.3,8.42,-5,-0.3,0.5,27,-23.75,<5.3e19,x,1.60E+08,18,0.14,FALSE
323,01:34:08.76,30:48:16.1,7.56,-3,2.6,0.4,19,-23.79,1.10E+20,e,1.60E+08,18,0.2,FALSE
324,01:34:08.77,30:30:57.0,7.29,-5,0.6,0.5,20,-24.23,<7.3e19,?,2.40E+08,23,0.24,FALSE
325,01:34:08.96,30:36:33.8,6.91,-5,21,1,25,-25.07,1.60E+21,e,,35,0.29,TRUE
326,01:34:09.36,30:47:01.8,8.8,-1,0.6,0.5,24,-23.08,<1.0e20,n,8.90E+07,13,0.11,FALSE
327,01:34:09.71,30:21:30.0,8.7,-2,-0.3,0.5,26,-23.37,<4.8e19,n,1.10E+08,15,0.12,FALSE
328,01:34:09.78,30:52:06.1,6.87,-1,22,1,15,-23.94,5.50E+20,a,1.90E+08,20,0.27,FALSE
329,01:34:10.09,30:45:29.4,8.71,-2,0.4,0.5,25,-23.27,<9.6e19,n,1.00E+08,14,0.12,FALSE
330,01:34:10.24,30:55:26.6,8.01,-5,0.6,0.5,29,-24.31,<1.5e20,x,2.50E+08,24,0.17,FALSE
331,01:34:10.66,30:45:48.9,8.04,-5,30,2,34,-24.61,4.20E+21,x,3.30E+08,28,0.17,FALSE
332,01:34:10.67,30:35:16.8,7.96,-4,0.1,0.5,22,-23.73,<5.7e19,n,1.50E+08,18,0.17,FALSE
333,01:34:11.00,30:40:30.1,8.14,-5,0.5,0.5,40,-24.87,<2.7e20,a,4.10E+08,32,0.16,FALSE
334,01:34:11.29,30:24:13.2,8.99,-5,1.8,100,101,-26.03,2.20E+24,e,,57,0.12,TRUE
335,01:34:11.35,30:41:27.9,8.97,-2,0.9,0.5,38,-23.94,<3.1e20,n,1.90E+08,20,0.11,FALSE
336,01:34:11.36,30:41:27.9,8.43,-5,-0.3,0.5,30,-23.94,<6.4e19,n,1.90E+08,20,0.14,FALSE
337,01:34:11.55,30:34:52.5,8.34,-5,1.4,0.5,54,-25.31,4.80E+20,e,,39,0.15,TRUE
338,01:34:11.82,30:42:19.9,8.56,-2,0.2,0.5,23,-23.25,<7.0e19,a,1.00E+08,14,0.13,FALSE
339,01:34:11.86,30:24:10.1,8.84,-2,9.6,1.1,74,-25.5,6.30E+21,n,,43,0.12,TRUE
340,01:34:12.68,30:47:05.3,8.21,-2.5,0.5,0.5,27,-23.92,<1.2e20,e,,20,0.15,TRUE
341,01:34:13.60,30:34:48.5,8.7,-4,0.8,0.5,38,-24.21,<3.0e20,n,2.30E+08,23,0.12,FALSE
342,01:34:13.69,30:43:18.4,8.82,-4.3,2.7,0.5,80,-25.69,2.10E+21,x,8.20E+08,48,0.12,FALSE
343,01:34:13.70,30:35:22.2,8.64,-2,0.4,0.5,32,-23.89,<1.6e20,n,1.80E+08,19,0.12,FALSE
344,01:34:13.80,30:45:31.5,8.31,-2.8,0.7,0.5,45,-24.95,<3.8e20,n,4.40E+08,33,0.15,FALSE
345,01:34:13.84,30:19:47.3,8.38,-3.8,15,1,37,-24.48,2.50E+21,n,2.90E+08,26,0.14,FALSE
346,01:34:13.99,30:27:59.0,8.53,-5,1.6,10,64,-25.51,7.90E+22,n,,44,0.14,TRUE
347,01:34:14.02,30:39:29.5,8.54,-5,66,2,67,-25.57,3.50E+22,n,,45,0.14,TRUE
348,01:34:14.14,30:52:59.8,8.84,-3,5.1,0.5,36,-23.93,7.80E+20,x,1.80E+08,20,0.11,FALSE
349,01:34:14.19,30:36:12.1,8.95,-4.1,0.4,0.5,31,-23.53,<1.5e20,x,1.30E+08,16,0.11,FALSE
350,01:34:14.20,30:39:58.4,8,-4.6,18,1,35,-24.71,2.70E+21,n,3.60E+08,29,0.17,FALSE
351,01:34:14.65,30:32:35.0,7.27,-5,0.4,0.5,28,-24.94,<1.2e20,n,4.30E+08,33,0.24,FALSE
352,01:34:15.02,30:53:33.9,8.28,-3.5,0.7,0.5,78,-26.18,<1.2e21,n,1.20E+09,61,0.16,FALSE
353,01:34:15.04,30:41:19.2,8.65,-3,0.5,0.5,71,-25.59,<8.4e20,n,7.60E+08,45,0.13,FALSE
354,01:34:15.51,30:50:01.7,8.82,-2,0.6,0.5,64,-25.21,<7.4e20,m,5.50E+08,37,0.12,FALSE
355,01:34:15.51,30:42:11.5,8,-2,0.6,0.5,23,-23.81,<9.5e19,a,1.70E+08,19,0.17,FALSE
356,01:34:15.78,30:27:45.7,8.17,-1,3.1,0.5,45,-25.1,7.60E+20,n,5.00E+08,35,0.16,FALSE
357,01:34:16.10,30:45:03.9,8.59,-5,4.8,0.4,42,-24.51,1.00E+21,n,3.00E+08,26,0.13,FALSE
358,01:34:16.37,30:47:43.0,8.28,-5,9.4,60,76,-26.13,6.50E+23,n,1.20E+09,59,0.16,FALSE
359,01:34:16.38,30:37:49.1,8.77,-5,6,0.5,73,-25.56,3.90E+21,n,,45,0.13,TRUE
360,01:34:16.57,30:40:29.0,8.97,-5,26,1,101,-26.05,3.20E+22,n,1.10E+09,57,0.12,FALSE
361,01:34:17.54,30:42:36.7,8.83,-5,-0.3,0.5,24,-23.06,<4.1e19,n,8.80E+07,13,0.11,FALSE
362,01:34:17.64,30:28:24.0,8.17,-3,0.2,0.5,13,-22.44,<2.3e19,a,5.20E+07,9.3,0.15,FALSE
363,01:34:17.87,30:35:34.1,8.85,-5,2.9,0.5,37,-23.99,4.70E+20,n,1.90E+08,20,0.11,FALSE
364,01:34:18.19,30:52:30.0,8.54,-5,0.5,0.5,72,-25.74,<8.7e20,a,8.60E+08,49,0.14,FALSE
365,01:34:18.21,30:53:47.4,7.27,-5,-0.3,0.5,25,-24.72,<4.5e19,n,3.60E+08,29,0.24,FALSE
366,01:34:18.26,30:22:02.5,8.86,-3,45,1,69,-25.35,2.60E+22,n,,40,0.12,TRUE
367,01:34:18.59,30:44:47.8,8.28,-5,0.5,0.5,57,-25.51,<5.5e20,n,7.10E+08,44,0.16,FALSE
368,01:34:18.69,30:31:37.6,8.44,-1,1.5,0.5,48,-24.97,4.20E+20,a,4.50E+08,33,0.14,FALSE
369,01:34:19.29,30:23:33.0,8.89,-3,0.7,0.5,47,-24.48,<4.3e20,n,2.90E+08,26,0.11,FALSE
370,01:34:19.44,30:46:21.2,8.96,-5,38,2,71,-25.3,2.30E+22,n,,39,0.11,TRUE
371,01:34:19.89,30:36:12.7,8,-5,20,1,53,-25.62,6.80E+21,a,7.80E+08,46,0.18,FALSE
372,01:34:20.17,30:39:33.3,8.01,-5,7.4,50,47,-25.35,2.00E+23,e,,40,0.18,TRUE
373,01:34:20.78,30:38:33.1,8.88,-2,1.1,0.5,56,-24.84,4.10E+20,n,,31,0.11,TRUE
374,01:34:20.95,30:22:57.6,8.39,-1,7.2,0.5,21,-23.19,3.70E+20,e,,14,0.13,TRUE
375,01:34:21.43,30:39:40.2,8.35,-5,7,0.5,69,-25.85,4.00E+21,a,9.40E+08,52,0.15,FALSE
376,01:34:21.59,30:36:45.6,8.43,-5,33,2,52,-25.16,1.10E+22,n,,37,0.15,TRUE
377,01:34:21.99,30:44:39.1,8.9,-2.5,0.9,0.5,78,-25.56,<1.3e21,n,7.40E+08,45,0.12,FALSE
378,01:34:22.23,30:47:11.0,7.86,-5,0,0.5,24,-24.05,<6.3e19,a,2.00E+08,21,0.18,FALSE
379,01:34:22.24,30:30:42.6,8.89,-3,1.2,0.5,73,-25.42,7.60E+20,n,6.50E+08,42,0.12,FALSE
380,01:34:22.81,30:54:26.1,8.22,-3,0,0.5,55,-25.48,<3.2e20,a,6.90E+08,43,0.16,FALSE
381,01:34:22.92,30:47:33.7,6.9,-1,3.4,0.6,23,-24.91,2.20E+20,e,4.20E+08,32,0.29,FALSE
382,01:34:23.05,30:37:39.8,8.71,-3,-0.3,0.5,34,-23.97,<8.5e19,x,1.90E+08,20,0.12,FALSE
383,01:34:23.13,30:43:46.4,8.82,-2,0.8,0.5,58,-24.99,<6.8e20,x,4.50E+08,34,0.12,FALSE
384,01:34:23.52,30:25:58.2,8.66,-1,2.3,0.5,53,-24.97,7.80E+20,x,4.50E+08,33,0.13,FALSE
385,01:34:24.53,30:53:05.4,8.28,-3,24,2,44,-24.94,5.50E+21,x,4.30E+08,33,0.15,FALSE
386,01:34:25.00,30:51:33.3,8.86,-2,2.6,0.5,67,-25.26,1.40E+21,x,5.70E+08,38,0.12,FALSE
387,01:34:25.40,30:41:28.4,8.47,-3,1.2,100,70,-25.75,7.10E+23,x,8.70E+08,49,0.14,FALSE
388,01:34:25.51,30:36:56.8,8.92,-2.2,-0.7,0.5,40,-24.1,<3.8e19,x,2.10E+08,21,0.11,FALSE
389,01:34:26.32,30:37:23.3,8.38,-3,5.5,0.6,59,-25.49,2.30E+21,x,6.90E+08,43,0.15,FALSE
390,01:34:26.39,30:47:13.8,8.56,-2,0.1,0.5,40,-24.45,<1.9e20,x,2.90E+08,26,0.13,FALSE
391,01:34:26.88,30:41:46.2,8.82,-2,0.5,0.5,49,-24.63,<4.0e20,x,3.30E+08,28,0.12,FALSE
392,01:34:27.10,30:36:42.3,8.85,-3.4,3.5,0.6,82,-25.73,2.80E+21,x,8.50E+08,49,0.12,FALSE
393,01:34:27.61,30:55:53.3,8.78,-5,0.8,0.5,80,-25.73,<1.3e21,x,8.50E+08,49,0.13,FALSE
394,01:34:28.14,30:42:48.2,8.85,-3,1.2,0.5,72,-25.43,7.40E+20,n,6.60E+08,42,0.12,FALSE
395,01:34:28.19,30:36:17.1,8.9,-2,1.1,100,55,-24.82,4.10E+23,e,,31,0.12,TRUE
396,01:34:28.50,30:37:56.1,8.73,-5,0.2,0.5,33,-23.9,<1.5e20,n,1.80E+08,19,0.12,FALSE
397,01:34:28.50,30:53:35.9,8.834615385,-3.934065934,-0.697802198,24.46043956,59.06593407,-24.88714286,<6.8e21,x,5.50E+08,34.45054945,0.120549451,FALSE
398,01:34:28.71,30:21:44.0,8.851802198,-4.090989011,-1.201318681,25.74373626,59.3032967,-24.87028571,7.10E+23,x,5.53E+08,34.32967033,0.11967033,FALSE
399,01:34:29.07,30:38:05.4,8.868989011,-4.247912088,-1.704835165,27.02703297,59.54065934,-24.85342857,9.23E+23,x,5.56E+08,34.20879121,0.118791209,FALSE
400,01:34:29.10,30:53:20.6,8.886175824,-4.404835165,-2.208351648,28.31032967,59.77802198,-24.83657143,1.14E+24,x,5.59E+08,34.08791209,0.117912088,FALSE
401,01:34:29.29,30:56:06.0,8.903362637,-4.561758242,-2.711868132,29.59362637,60.01538462,-24.81971429,1.35E+24,x,5.62E+08,33.96703297,0.117032967,FALSE
402,01:34:30.20,30:38:13.0,8.920549451,-4.718681319,-3.215384615,30.87692308,60.25274725,-24.80285714,<3.8e20,x,5.65E+08,33.84615385,0.116153846,FALSE
403,01:34:30.50,30:36:48.2,8.937736264,-4.875604396,-3.718901099,32.16021978,60.49010989,-24.786,2.30E+21,x,5.69E+08,33.72527473,0.115274725,FALSE
404,01:34:31.00,30:57:57.5,8.954923077,-5.032527473,-4.222417582,33.44351648,60.72747253,-24.76914286,<1.9e21,x,5.72E+08,33.6043956,0.114395604,FALSE
405,01:34:31.07,30:37:41.1,8.97210989,-5.189450549,-4.725934066,34.72681319,60.96483516,-24.75228571,<4.0e21,x,5.75E+08,33.48351648,0.113516484,FALSE
406,01:34:31.74,30:39:14.8,8.989296703,-5.346373626,-5.229450549,36.01010989,61.2021978,-24.73542857,2.80E+21,x,5.78E+08,33.36263736,0.112637363,FALSE
407,01:34:32.29,30:55:09.9,9.006483516,-5.503296703,-5.732967033,37.29340659,61.43956044,-24.71857143,<1.3e22,x,5.81E+08,33.24175824,0.111758242,FALSE
408,01:34:32.78,30:54:23.6,9.02367033,-5.66021978,-6.236483516,38.5767033,61.67692308,-24.70171429,8.19E+23,n,5.84E+08,33.12087912,0.110879121,FALSE
409,01:34:32.90,30:38:12.0,9.040857143,-5.817142857,-6.74,39.86,61.91428571,-24.68485714,1.23E+24,e,587182320.4,33,0.11,TRUE
410,01:34:33.09,30:37:36.3,9.058043956,-5.974065934,-7.243516484,41.1432967,62.15164835,-24.668,<1.5e21,n,5.90E+08,32.87912088,0.109120879,FALSE
