#@string,ra,dec,float,float,float,float,float,float,string,string,float,float,float,string
Name,RA,DEC,K,TYPE,S,err_S,Dist,M(K),P1/4,Spectrum,M_BH,SoI_pc,SoI_arcsec,Done
47,01:33:13.90,30:29:44.7,6.89,-5,1.1,0.5,20,-24.64,5.40E+19,x,3.40E+08,28,0.29,FALSE
48,01:33:14.29,30:27:11.1,6.3,-5,2.2,100,21,-25.3,1.20E+23,x,5.90E+08,39,0.39,FALSE
49,01:33:14.30,30:28:22.8,7.79,-3,2.5,0.5,26,-24.32,2.10E+20,n,2.60E+08,24,0.19,FALSE
50,01:33:14.61,30:51:37.8,6.82,-5,3.9,0.6,20,-24.71,1.90E+20,x,3.60E+08,29,0.3,FALSE
51,01:33:15.09,30:54:12.7,6.68,-5,88,4,29,-25.62,8.70E+21,n,7.80E+08,46,0.33,FALSE
52,01:33:15.17,30:32:53.0,8.67,-5,0.3,0.5,24,-23.24,<8.3e19,x,1.00E+08,14,0.12,FALSE
53,01:33:16.10,30:20:56.7,8.13,-4.1,-0.2,0.5,20,-23.33,<3.2e19,x,1.10E+08,15,0.15,FALSE
54,01:33:16.63,30:34:35.7,8.56,-5,0.1,0.5,27,-23.57,<8.5e19,x,1.40E+08,16,0.13,FALSE
55,01:33:18.20,30:43:48.1,8.17,-1.9,-0.6,0.5,22,-23.53,<1.7e19,n,1.30E+08,16,0.15,FALSE
56,01:33:18.87,30:26:45.0,8.08,-5,28,1,54,-25.57,9.50E+21,x,,45,0.17,TRUE
57,01:33:19.21,30:23:22.5,8.32,-2,-0.3,0.5,20,-23.18,<2.9e19,n,9.70E+07,14,0.14,FALSE
58,01:33:19.41,30:48:48.7,8.66,-5,4.2,0.5,67,-25.48,2.30E+21,x,6.90E+08,43,0.13,FALSE
59,01:33:20.40,30:40:23.3,8.42,-3.2,17,3,16,-22.61,5.10E+20,x,6.00E+07,10,0.13,FALSE
60,01:33:20.48,30:26:15.2,7.72,-2.5,0,0.5,23,-24.11,<5.8e19,x,2.10E+08,22,0.19,FALSE
61,01:33:21.18,30:37:55.5,8.72,-3.2,17,2,52,-24.85,5.30E+21,n,,31,0.12,TRUE
62,01:33:21.57,30:31:51.4,8.51,-5,23,2,57,-25.28,8.90E+21,n,5.80E+08,39,0.14,FALSE
63,01:33:21.66,30:37:48.4,8.49,-5,1.31,5,51,-25.04,4.00E+22,n,,34,0.14,TRUE
64,01:33:21.90,31:01:11.2,8.76,-3,-1,0.5,42,-24.34,null,x,,24,0.12,TRUE
65,01:33:22.10,30:45:34.3,8.02,-5,62,3,65,-26.02,3.10E+22,n,1.10E+09,56,0.18,FALSE
66,01:33:22.11,30:40:28.4,8.96,-4,12,1,60,-24.91,5.30E+21,x,,32,0.11,TRUE
67,01:33:22.16,30:40:26.0,8.67,-4,1.03,4,60,-25.23,4.50E+22,x,,38,0.13,TRUE
68,01:33:22.32,30:40:59.4,8.07,-5,0.5,0.5,44,-25.16,<3.3e20,n,5.20E+08,37,0.17,FALSE
69,01:33:22.38,30:30:14.3,8.58,-2,1.1,0.5,55,-25.11,3.90E+20,n,5.00E+08,36,0.13,FALSE
70,01:33:23.10,30:33:00.5,8.99,-3,-0.5,0.5,23,-22.84,<2.6e19,x,7.30E+07,11,0.1,FALSE
71,01:33:23.11,30:32:22.9,5.56,-5,0.1,0.5,0.8,-18.84,<6.9e16,a,2400000,1.5,0.4,FALSE
72,01:33:23.30,30:46:09.0,8.79,-3,54,2,41,-24.27,1.10E+22,n,2.50E+08,23,0.12,FALSE
73,01:33:23.44,30:22:31.0,8.01,-3,3,10,33,-24.58,3.90E+22,x,,27,0.17,TRUE
74,01:33:23.90,30:40:26.0,8.78,-3,26,1,43,-24.39,5.70E+21,n,,25,0.12,TRUE
